Event,Desc
UNC_H_AG0_BL_CRD_ACQUIRED.TGR6,CMS Agent0 BL Credits Acquired For Transgress 6
UNC_H_AG0_BL_CRD_ACQUIRED.TGR7,CMS Agent0 BL Credits Acquired For Transgress 7
UNC_H_AG0_BL_CRD_ACQUIRED_EXT.ANY_OF_TGR0_THRU_TGR7,CMS Agent0 BL Credits Acquired For Transgress 0-7
UNC_H_AG0_BL_CRD_ACQUIRED_EXT.TGR8,CMS Agent0 BL Credits Acquired For Transgress 8
UNC_H_AG0_BL_CRD_OCCUPANCY.TGR0,CMS Agent0 BL Credits Occupancy For Transgress 0
UNC_H_AG0_BL_CRD_OCCUPANCY.TGR1,CMS Agent0 BL Credits Occupancy For Transgress 1
UNC_H_AG0_BL_CRD_OCCUPANCY.TGR2,CMS Agent0 BL Credits Occupancy For Transgress 2
UNC_H_AG0_BL_CRD_OCCUPANCY.TGR3,CMS Agent0 BL Credits Occupancy For Transgress 3
UNC_H_AG0_BL_CRD_OCCUPANCY.TGR4,CMS Agent0 BL Credits Occupancy For Transgress 4
UNC_H_AG0_BL_CRD_OCCUPANCY.TGR5,CMS Agent0 BL Credits Occupancy For Transgress 5
UNC_H_AG0_BL_CRD_OCCUPANCY.TGR6,CMS Agent0 BL Credits Occupancy For Transgress 6
UNC_H_AG0_BL_CRD_OCCUPANCY.TGR7,CMS Agent0 BL Credits Occupancy For Transgress 7
UNC_H_AG0_BL_CRD_OCCUPANCY_EXT.ANY_OF_TGR0_THRU_TGR7,CMS Agent0 BL Credits Occupancy For Transgress 0-7
UNC_H_AG0_BL_CRD_OCCUPANCY_EXT.TGR8,CMS Agent0 BL Credits Occupancy For Transgress 8
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD.TGR0,Stall on No AD Transgress Credits For Transgress 0
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD.TGR1,Stall on No AD Transgress Credits For Transgress 1
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD.TGR2,Stall on No AD Transgress Credits For Transgress 2
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD.TGR3,Stall on No AD Transgress Credits For Transgress 3
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD.TGR4,Stall on No AD Transgress Credits For Transgress 4
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD.TGR5,Stall on No AD Transgress Credits For Transgress 5
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD.TGR6,Stall on No AD Transgress Credits For Transgress 6
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD.TGR7,Stall on No AD Transgress Credits For Transgress 7
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD_EXT.ANY_OF_TGR0_THRU_TGR7,Stall on No AD Transgress Credits For Transgress 0-7
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_AD_EXT.TGR8,Stall on No AD Transgress Credits For Transgress 8
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL.TGR0,Stall on No AD Transgress Credits For Transgress 0
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL.TGR1,Stall on No AD Transgress Credits For Transgress 1
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL.TGR2,Stall on No AD Transgress Credits For Transgress 2
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL.TGR3,Stall on No AD Transgress Credits For Transgress 3
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL.TGR4,Stall on No AD Transgress Credits For Transgress 4
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL.TGR5,Stall on No AD Transgress Credits For Transgress 5
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL.TGR6,Stall on No AD Transgress Credits For Transgress 6
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL.TGR7,Stall on No AD Transgress Credits For Transgress 7
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL_EXT.ANY_OF_TGR0_THRU_TGR7,Stall on No AD Transgress Credits For Transgress 0-7
UNC_H_AG0_STALL_NO_CRD_EGRESS_HORZ_BL_EXT.TGR8,Stall on No AD Transgress Credits For Transgress 8
UNC_H_AG1_AD_CRD_ACQUIRED.TGR0,CMS Agent1 AD Credits Acquired For Transgress 0
UNC_H_AG1_AD_CRD_ACQUIRED.TGR1,CMS Agent1 AD Credits Acquired For Transgress 1
UNC_H_AG1_AD_CRD_ACQUIRED.TGR2,CMS Agent1 AD Credits Acquired For Transgress 2
